Jawa Tengah,village,-6.225583872769395,110.20427147236343
Balerante,village,-7.585305238150157,110.46384008332062
Kaliurang,village,-7.590665287870071,110.38599267175341
Kemiren,village,-7.57721036215341,110.39098391858418
Ngablak,village,-7.567559194441078,110.39395416954069
Nglumut,village,-7.61469278658543,110.35795374066248
Panggang,village,-7.626600305850738,110.47657814578935
Sidorejo,village,-7.586304016328893,110.47517532040567
Bawukan,village,-7.645739950104471,110.47890443302036
Bumiharjo,village,-7.619282538662879,110.50283986611346
Dompol,village,-7.637755623287804,110.50906659152909
Jemowo,village,-7.588070911399203,110.51657431089706
Kendalsari,village,-7.629193545810973,110.49413001920357
Kepurun,village,-7.663143373902946,110.47927152247694
Lampar,village,-7.616868469497557,110.52865501834856
Sangup,village,-7.56700448853704,110.493204902738
Tangkil,village,-7.619514575147579,110.51609428484474
Tegalmulyo,village,-7.567640587456638,110.4766600663658
Cluntang,village,-7.541525301592402,110.48895525289952
Mriyan,village,-7.549473744980512,110.48897492619699
Sruni,village,-7.560015025754688,110.52382902312762
Sumur,village,-7.5793726183718135,110.52119557630066
Sukorejo,village,-7.564409088464164,110.55383691337063
Jombong,village,-7.535131803309342,110.50360269017963
Musuk,village,-7.53807178285767,110.54712313177629
Paras,village,-7.5227448140639765,110.5372223710397
Sumbung,village,-7.526809768511482,110.52859526258679
Wonodoyo,village,-7.526847997819182,110.47877747398283
Genting,village,-7.506298615159866,110.49300646743268
Samiran,village,-7.500188763933826,110.45634832752431
Suroteleng,village,-7.514876865267627,110.46902767937559
Banyuroto,village,-7.471794563075091,110.39960482568564
Jeruk,village,-7.474894044838232,110.47832249735876
Jrakah,village,-7.4908268798838,110.43340226792319
Klakah,village,-7.510752821744668,110.42386124119744
Lencoh,village,-7.497014568599343,110.44468512346535
Ngargomulyo,village,-7.5484975903026665,110.39577951648722
Tarubatang,village,-7.488435694075765,110.47580925826445
Tlogolele,village,-7.518157400661025,110.41665344136645
Ketep,village,-7.499587167018574,110.37700458524539
Wonolelo,village,-7.481549588075826,110.41170076703364
Krinjing,village,-7.529716851903834,110.39763316336658
